feature,importance
frequency,0.7777884371077337
monetary_mean,0.20772708494668174
monetary_max,0.01259239009440824
monetary_std,0.0015250050409877898
purchase_velocity,0.00015692207738188265
early_7d_spend,5.843476114277005e-05
customer_lifespan,3.082850174036489e-05
total_playtime,1.9293460634879087e-05
total_sessions,1.7543163885225467e-05
engagement_consistency,1.4001304870122891e-05
social_ratio,1.2299387183024703e-05
age,1.2204567882325391e-05
cac,1.1529206012697567e-05
tenure_days,1.0318623979480185e-05
recency_days,6.983711138802929e-06
avg_weekly_sessions,5.6491404769358585e-06
early_7d_purchases,4.786012065783403e-06
device_encoded,3.5003318514604253e-06
region_encoded,1.60130581083983e-06
gender_encoded,1.1872541319034896e-06
